,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
369,Acaraú,-2.89,-40.12,79.38,83,54,10.36,BR,1591735162
370,Khovd,48.01,91.64,51.24,60,62,5.68,MN,1591734898
371,Luau,-10.71,22.22,62.6,42,0,5.23,AO,1591734898
372,Yinchuan,38.47,106.27,69.64,30,99,6.22,CN,1591734898
373,Silvassa,20.27,73.02,83.21,75,3,5.14,IN,1591734898
374,Sept-Îles,50.2,-66.38,53.6,46,75,11.41,CA,1591735236
375,Marzuq,14.4,46.47,85.28,26,8,5.06,YE,1591734898
376,Meulaboh,4.14,96.13,77.34,90,100,4.27,ID,1591735236
377,Cockburn Town,21.46,-71.14,81.27,77,92,9.89,TC,1591735236
378,Broome,42.25,-75.83,86.0,39,1,5.82,US,1591735236
379,Izumo,35.37,132.77,73.4,73,20,12.75,JP,1591734898
380,Herat Province,34.5,62.0,67.48,24,0,14.07,AF,1591734898
381,Shingū,33.73,135.98,66.34,94,100,1.59,JP,1591734899
382,Manerbio,45.36,10.14,68.0,77,40,5.82,IT,1591734899
383,Saint-Joseph,-21.37,55.62,68.0,77,17,10.29,RE,1591734899
384,Hūn,29.13,15.95,83.95,32,83,16.58,LY,1591734899
385,Neuquén,-38.95,-68.06,59.0,28,9,9.17,AR,1591735237
386,Aragats,40.49,44.35,78.8,27,1,13.87,AM,1591734899
387,Altay,47.87,88.12,52.18,64,3,0.92,CN,1591735237
388,Marquette,46.53,-87.63,86.0,28,5,14.99,US,1591734899
389,Ixtapa,20.7,-105.2,84.2,66,5,13.87,MX,1591734756
390,Marsh Harbour,26.54,-77.06,82.18,73,100,2.06,BS,1591735237
391,Hienghène,-20.68,164.93,73.24,82,94,14.97,NC,1591734900
392,Biak,-0.91,122.88,75.96,88,100,7.65,ID,1591735237
393,Methóni,36.82,21.7,68.0,68,0,11.74,GR,1591734900
394,Luyang,27.62,110.1,71.8,96,77,2.04,CN,1591734900
395,Okha,53.57,142.95,42.03,98,100,12.35,RU,1591735238
396,Sibolga,1.74,98.78,77.52,75,76,3.83,ID,1591734900
397,Nouadhibou,20.93,-17.03,86.0,48,0,14.99,MR,1591734900
398,Wattegama,6.8,81.48,78.3,74,100,6.76,LK,1591734900
399,Napāsar,27.97,73.55,96.96,31,0,15.55,IN,1591734901
400,Sur,22.57,59.53,85.06,73,0,9.13,OM,1591734901
401,Limulunga,-15.1,23.14,58.19,45,0,3.38,ZM,1591734901
402,Zhezkazgan,47.8,67.71,67.77,35,36,9.51,KZ,1591734901
403,Acapulco de Juárez,16.86,-99.89,86.0,70,20,11.41,MX,1591735239
404,Kalmunai,7.42,81.82,81.39,77,100,7.05,LK,1591734901
405,Champerico,14.3,-91.92,91.4,59,75,6.93,GT,1591735239
406,Atikokan,48.76,-91.62,83.28,64,93,3.02,CA,1591734902
407,Sandpoint,48.28,-116.55,53.6,66,90,5.82,US,1591734902
408,Severo-Yeniseyskiy,60.37,93.04,36.46,95,65,1.88,RU,1591734637
409,Nuuk,64.18,-51.72,37.4,93,75,6.93,GL,1591734902
410,Port Hardy,50.7,-127.42,53.6,81,90,23.04,CA,1591735239
411,Mount Gambier,-37.83,140.77,33.8,100,44,5.82,AU,1591735239
412,Djambala,-2.54,14.75,68.68,93,100,3.62,CG,1591734902
413,Yalkhoy-Mokhk,43.11,46.19,68.0,72,43,4.56,RU,1591734902
414,Tarko-Sale,64.92,77.78,52.0,89,48,7.76,RU,1591734902
415,Port Macquarie,-31.43,152.92,60.8,100,75,4.7,AU,1591735240
416,Khandyga,62.67,135.6,54.18,72,99,3.09,RU,1591735240
417,Portland,45.52,-122.68,60.8,82,90,8.05,US,1591734995
418,Nyurba,63.28,118.33,51.98,91,64,9.73,RU,1591734784
419,Sinnamary,5.38,-52.95,79.29,81,100,5.66,GF,1591735240
420,Xining,36.62,101.77,50.81,60,58,1.34,CN,1591734654
421,Coahuayana Viejo,18.73,-103.68,84.2,66,40,11.41,MX,1591735240
422,Houma,29.6,-90.72,89.01,89,75,11.41,US,1591734646
423,Beloha,-25.17,45.05,64.09,81,0,9.91,MG,1591734903
424,Vitim,59.45,112.56,50.85,92,100,6.02,RU,1591734903
425,Riachão das Neves,-11.75,-44.91,75.58,54,0,3.94,BR,1591734904
426,Srednekolymsk,67.45,153.68,69.71,39,100,6.98,RU,1591734904
427,Barra,-11.09,-43.14,78.22,45,0,2.08,BR,1591734904
428,Codrington,-38.27,141.97,39.16,92,64,8.84,AU,1591735241
429,Carutapera,-1.2,-46.02,79.02,83,29,5.44,BR,1591734904
430,Escanaba,45.75,-87.06,78.01,64,1,3.36,US,1591734904
431,Hobyo,5.35,48.53,80.78,67,2,22.79,SO,1591734904
432,Kimbe,-5.55,150.14,77.49,83,56,3.89,PG,1591734904
433,Manakara,-22.13,48.02,65.68,82,25,2.93,MG,1591734905
434,Qiongshan,20.01,110.35,80.6,94,100,6.71,CN,1591734905
435,Makakilo City,21.35,-158.09,84.2,62,75,9.17,US,1591734905
436,Muş Province,39.0,41.75,58.23,39,0,4.68,TR,1591734905
437,Jimeta,9.28,12.47,74.93,84,100,8.81,NG,1591734905
438,Mandera,3.94,41.87,79.0,72,86,11.39,KE,1591734905
439,Taltal,-25.4,-70.48,64.9,61,58,3.65,CL,1591735242
440,Maceió,-9.67,-35.74,78.8,83,75,2.24,BR,1591735227
441,Grand Gaube,-20.01,57.66,70.0,72,5,8.99,MU,1591735242
442,Oistins,13.07,-59.53,86.0,70,40,13.87,BB,1591734772
443,Pingdingshan,33.74,113.3,72.37,80,100,3.89,CN,1591734906
444,Boralday,43.36,76.86,57.2,62,40,6.71,KZ,1591734906
445,Huaihua,27.55,109.96,72.14,95,64,2.28,CN,1591734906
446,Panzhihua,26.59,101.71,74.32,74,95,0.98,CN,1591734906
447,Port-Gentil,-0.72,8.78,77.0,88,40,5.82,GA,1591734906
448,Lieksa,63.32,30.02,58.66,66,100,7.9,FI,1591734906
449,Helong,42.54,129.0,65.25,85,100,2.89,CN,1591734907
450,Boa Vista,2.82,-60.67,78.8,78,75,6.93,BR,1591734907
451,Tigil',57.8,158.67,58.21,60,100,7.43,RU,1591734907
452,Pochutla,15.74,-96.47,91.0,59,20,11.41,MX,1591735243
453,Hohhot,40.81,111.65,51.8,71,20,4.47,CN,1591734907
454,Abnūb,27.27,31.15,87.8,35,0,10.29,EG,1591734907
455,Palmares do Sul,-30.26,-50.51,60.21,84,79,6.15,BR,1591734907
456,Cutervo,-6.38,-78.82,62.85,65,99,4.52,PE,1591734907
457,Berlevåg,70.86,29.09,42.8,60,75,9.17,NO,1591734908
458,Esim,4.87,-2.24,78.69,85,99,7.36,GH,1591734908
459,Kushima,31.46,131.23,72.16,94,92,2.53,JP,1591734908
460,Ballina,-28.87,153.57,60.8,93,92,2.24,AU,1591734908
461,Tabas,33.6,56.92,87.8,11,0,4.7,IR,1591734882
462,Ca Mau,9.18,105.15,80.15,87,99,3.47,VN,1591734908
463,Tignère,7.37,12.65,65.05,92,63,1.1,CM,1591734908
464,Lorengau,-2.02,147.27,82.36,78,90,7.65,PG,1591735244
465,Bow Island,49.87,-111.37,64.4,45,75,9.17,CA,1591734908
466,Bonthe,7.53,-12.51,79.39,84,75,7.31,SL,1591735245
467,Shepsi,44.04,39.15,72.59,70,45,6.06,RU,1591734908
468,Huambo,-12.78,15.74,55.0,41,3,2.48,AO,1591734909
469,Sri Aman,1.24,111.46,77.0,94,59,3.36,MY,1591734909
470,Voloshka,61.33,40.09,62.67,93,71,5.99,RU,1591734909
471,Pilar,-9.6,-35.96,78.8,83,75,2.24,BR,1591734909
472,Orodara,10.95,-4.93,71.6,83,20,9.17,BF,1591734909
473,Benguela,-12.58,13.41,69.66,83,18,3.02,AO,1591735245
474,Harper,4.38,-7.72,78.51,87,88,10.25,LR,1591735245
475,Palu,-0.89,119.87,75.79,80,100,2.28,ID,1591734909
476,Sovetskiy,61.36,63.58,66.65,55,0,5.99,RU,1591734909
477,Seguin,29.57,-97.96,97.0,47,1,3.33,US,1591734909
478,Saint-Augustin,51.23,-58.65,47.07,63,93,16.55,CA,1591734910
479,Plácido de Castro,-10.34,-67.19,86.92,59,41,1.9,BR,1591734910
480,Terenos,-20.44,-54.86,84.2,58,40,11.41,BR,1591734910
481,Almeida,41.27,-6.07,64.99,44,92,5.82,ES,1591734910
482,Pangody,65.85,74.49,53.17,77,66,5.82,RU,1591734910
483,Bossangoa,6.49,17.46,72.05,91,100,3.18,CF,1591734910
484,Rancho Palos Verdes,33.74,-118.39,91.4,9,5,13.87,US,1591734643
485,Matagami,49.75,-77.63,64.4,25,1,8.05,CA,1591734910
486,Kuril'sk,45.23,147.88,49.33,77,100,7.36,RU,1591735246
487,Penzance,50.12,-5.54,57.0,71,40,9.17,GB,1591734730
488,Illapel,-31.63,-71.17,61.63,43,0,4.85,CL,1591734911
489,Porto-Novo,6.5,2.6,82.4,78,40,4.7,BJ,1591735246
490,Warangal,18.0,79.58,87.35,52,100,4.25,IN,1591734911
491,Disna,55.57,28.2,64.15,89,51,4.76,BY,1591734911
492,Buchanan,5.88,-10.05,78.98,86,97,6.6,LR,1591734911
493,Olafsvik,64.89,-23.71,44.24,86,100,9.42,IS,1591735247
494,St. Pete Beach,27.73,-82.74,91.0,62,1,5.82,US,1591734691
495,Rome,43.21,-75.46,82.4,39,1,9.17,US,1591735084
496,Berea,41.37,-81.85,91.4,29,75,9.17,US,1591734880
497,Tessalit,20.2,1.01,100.42,14,75,5.97,ML,1591735247
498,Svoge,42.97,23.35,62.6,77,75,10.29,BG,1591734912
499,Ipubi,-7.65,-40.15,71.65,79,1,3.4,BR,1591734912
500,Mareeba,-17.0,145.43,68.0,77,98,6.93,AU,1591734912
501,Sorong,-0.88,131.25,77.11,88,100,10.11,ID,1591734912
502,Kokopo,-4.35,152.26,77.76,83,75,3.69,PG,1591734912
503,Rāwatsār,29.28,74.38,97.21,24,0,8.12,IN,1591734912
504,Veinticinco de Mayo,-35.43,-60.17,62.01,51,0,3.0,AR,1591734912
505,Turaif,31.67,38.66,80.6,19,19,9.17,SA,1591734912
506,Laas,46.62,10.7,48.2,93,75,3.36,IT,1591734913
507,Banjar,-8.19,114.97,77.0,100,20,3.36,ID,1591734913
508,Muros,42.78,-9.06,61.0,65,99,5.01,ES,1591735248
509,Mazatlán,23.22,-106.42,82.4,65,5,13.87,MX,1591734644
510,Changtu,42.78,124.1,66.25,69,92,6.02,CN,1591734913
511,Dargaville,-35.93,173.88,56.34,81,52,7.43,NZ,1591734913
512,Karema,-6.82,30.44,72.0,57,14,3.2,TZ,1591734913
513,Xichang,27.9,102.26,65.64,78,50,0.63,CN,1591734913
514,Mossamedes,-15.2,12.15,66.7,79,82,10.51,AO,1591735249
515,Vung Tau,10.35,107.08,82.58,79,99,8.39,VN,1591734914
516,Markova,48.68,24.41,57.07,94,45,2.39,UA,1591734914
517,Cobija,-11.03,-68.77,89.6,62,40,6.93,BO,1591734914
518,Broken Hill,-31.95,141.43,41.0,86,6,5.28,AU,1591734914
519,Arona,28.1,-16.68,73.99,73,20,19.46,ES,1591734914
520,Mianyang,31.46,104.75,71.55,69,59,1.5,CN,1591734914
521,Sal Rei,16.18,-22.92,77.0,78,75,12.75,CV,1591734914
522,Bozeman,45.68,-111.04,57.0,35,90,5.82,US,1591734700
523,Hualmay,-11.1,-77.61,66.72,69,6,6.58,PE,1591734914
524,Goderich,43.75,-81.72,81.0,47,100,4.36,CA,1591735092
525,Amahai,-3.33,128.92,80.01,94,100,1.83,ID,1591734915
526,Ghanzi,-21.57,21.78,56.93,38,0,6.53,BW,1591734915
527,Acheng,45.55,126.98,69.01,93,7,4.47,CN,1591734915
528,Kyshtovka,56.55,76.63,52.03,65,93,3.11,RU,1591734915
529,Arroyo de la Encomienda,41.61,-4.8,53.6,62,69,6.93,ES,1591734915
530,Ugoofaaru,5.67,73.0,83.62,81,93,13.53,MV,1591734915
531,San Cristobal,7.77,-72.22,95.0,36,40,19.46,VE,1591735250
532,Payyanur,12.1,75.2,79.92,84,100,3.76,IN,1591734915
533,Moerai,-22.43,-151.33,73.0,69,19,8.05,PF,1591734915
534,Kommunisticheskiy,61.68,64.48,66.27,54,99,6.2,RU,1591734724
535,Jadu,31.95,12.03,74.64,43,55,11.43,LY,1591734916
536,San Jerónimo,-11.95,-75.28,62.56,38,74,5.53,PE,1591734916
537,Marystown,47.17,-55.15,45.52,72,39,13.02,CA,1591734916
538,Havøysund,71.0,24.66,42.8,60,75,13.87,NO,1591734916
539,Cumpas,29.98,-109.78,91.38,17,0,3.76,MX,1591734916
540,Port Keats,-14.25,129.55,68.65,52,95,9.78,AU,1591734916
541,Dorolţ,47.85,22.82,66.99,82,97,4.7,RO,1591734916
542,Kukushtan,57.65,56.5,60.8,77,0,4.47,RU,1591734916
543,Siljan,59.29,9.71,57.2,58,0,5.82,NO,1591734916
544,Nkhata Bay,-11.61,34.29,68.58,65,4,3.98,MW,1591734917
545,Giohar,2.78,45.5,74.37,85,100,10.11,SO,1591734917
546,Zyryanka,65.75,150.85,66.7,43,100,9.6,RU,1591734917
547,Cirò Marina,39.37,17.13,68.86,70,0,5.46,IT,1591734917
548,Deputatsky,69.3,139.9,37.49,79,100,5.53,RU,1591735252
549,Karera,25.47,78.15,90.61,40,0,13.2,IN,1591734917
550,Yarke Pole,45.61,34.32,65.84,79,0,2.39,UA,1591734917
551,Chiuza,47.23,24.25,63.0,93,86,2.24,RO,1591734917
552,Águas Vermelhas,-15.75,-41.46,66.54,75,0,2.3,BR,1591734917
553,Shakhun'ya,57.68,46.61,58.62,84,0,1.41,RU,1591734783
554,Byron Bay,-28.65,153.62,60.8,93,100,2.24,AU,1591734918
555,Villa del Rosario,7.83,-72.47,95.0,36,40,19.46,CO,1591734918
556,Linqiong,30.42,103.46,77.0,73,37,2.24,CN,1591734918
557,Vikhorevka,56.12,101.16,48.2,100,99,6.71,RU,1591734724
558,Varangaon,21.02,75.9,86.32,61,0,12.82,IN,1591734918
559,Villazón,-22.09,-65.59,59.67,25,27,5.88,BO,1591734918
560,Karaman Province,37.08,33.25,65.64,30,96,7.76,TR,1591735253
561,Bambari,5.77,20.68,73.49,86,96,2.44,CF,1591734918
562,Lanzhou,36.06,103.79,63.0,31,100,1.21,CN,1591734918
563,Mocuba,-16.84,36.99,63.93,97,30,0.98,MZ,1591734919
564,Ambilobe,-13.2,49.05,66.69,80,8,3.98,MG,1591735253
565,Isangel,-19.55,169.27,71.6,94,20,16.58,VU,1591734919
566,Arrondissement de Saint-Denis,48.92,2.33,60.8,62,32,6.93,FR,1591734919
